Date,Not indexed,Indexed,Impressions
2025-12-26,,,1
2025-12-27,,,0
2025-12-28,,,1
2025-12-29,,,1
2025-12-30,,,2
2025-12-31,,,3
2026-01-01,,,3
2026-01-02,,,2
2026-01-03,2,2,0
2026-01-04,2,2,4
2026-01-05,2,2,3
2026-01-06,2,2,0
2026-01-07,79,1,8
2026-01-08,79,1,2
2026-01-09,79,1,1
2026-01-10,79,1,11
2026-01-11,79,1,4
2026-01-12,79,1,5
2026-01-13,79,1,3
2026-01-14,78,6,8
2026-01-15,78,6,5
2026-01-16,78,6,4
2026-01-17,78,6,25
2026-01-18,81,7,5
2026-01-19,81,7,9
2026-01-20,81,7,22
2026-01-21,92,9,5
2026-01-22,92,9,43
2026-01-23,92,9,13
2026-01-24,92,9,12
2026-01-25,105,13,2
2026-01-26,105,13,11
2026-01-27,105,13,18
2026-01-28,113,23,26
2026-01-29,113,23,15
2026-01-30,113,23,29
2026-01-31,113,23,23
2026-02-01,120,23,18
2026-02-02,120,23,16
2026-02-03,120,23,21
2026-02-04,129,32,24
2026-02-05,129,32,36
2026-02-06,129,32,17
2026-02-07,129,32,39
2026-02-08,135,36,56
2026-02-09,135,36,44
2026-02-10,135,36,49
2026-02-11,156,39,36
2026-02-12,156,39,52
2026-02-13,156,39,40
2026-02-14,156,39,36
2026-02-15,167,41,25
2026-02-16,167,41,46
2026-02-17,167,41,45
2026-02-18,165,55,33
2026-02-19,165,55,44
2026-02-20,165,55,41
2026-02-21,165,55,49
2026-02-22,171,64,57
2026-02-23,171,64,75
2026-02-24,171,64,98
2026-02-25,182,73,121
2026-02-26,182,73,178
2026-02-27,182,73,183
2026-02-28,182,73,133
2026-03-01,182,73,203
2026-03-02,182,73,242
2026-03-03,182,73,179
2026-03-04,189,77,250
2026-03-05,189,77,314
2026-03-06,189,77,312
2026-03-07,189,77,263
2026-03-08,189,82,287
2026-03-09,189,82,250
2026-03-10,189,82,262
2026-03-11,198,84,273
2026-03-12,198,84,267
2026-03-13,198,84,241
2026-03-14,198,84,246
2026-03-15,198,84,311
2026-03-16,196,87,187
2026-03-17,196,87,181
2026-03-18,200,89,225
2026-03-19,200,89,185
2026-03-20,200,89,212
2026-03-21,200,89,243
