Country,Clicks,Impressions,CTR,Position
India,214,502,42.63%,6.94
United Arab Emirates,84,5301,1.58%,22.42
Australia,2,17,11.76%,7.12
United Kingdom,1,123,0.81%,12.58
France,1,28,3.57%,6.25
Oman,1,13,7.69%,17.31
Italy,1,11,9.09%,6.64
Philippines,1,10,10%,6.8
Belgium,1,9,11.11%,9
Kuwait,1,6,16.67%,4.67
Sri Lanka,1,6,16.67%,8.67
Portugal,1,5,20%,3.6
United States,0,828,0%,7.81
Brazil,0,44,0%,6.18
Canada,0,39,0%,6.9
Netherlands,0,30,0%,8.03
Spain,0,27,0%,5.41
Germany,0,25,0%,9.88
Singapore,0,17,0%,7.88
Saudi Arabia,0,16,0%,13.5
Pakistan,0,14,0%,7.07
Indonesia,0,13,0%,13.46
Mexico,0,11,0%,9.64
Egypt,0,10,0%,7.8
Malaysia,0,9,0%,6.78
Sweden,0,8,0%,7
Vietnam,0,8,0%,12.38
Japan,0,7,0%,5.43
Kenya,0,7,0%,5.57
Hong Kong,0,6,0%,4.5
Chile,0,6,0%,5.5
Iran,0,6,0%,6.17
Norway,0,6,0%,6.67
Austria,0,6,0%,7
Bangladesh,0,6,0%,7.67
Russia,0,6,0%,8.33
Turkey,0,6,0%,11.5
Israel,0,6,0%,15.33
Ukraine,0,5,0%,5.6
Peru,0,5,0%,5.8
Hungary,0,5,0%,6.2
South Africa,0,5,0%,8
Thailand,0,5,0%,10.4
Morocco,0,5,0%,10.8
Ireland,0,5,0%,59.4
Romania,0,4,0%,5.5
Lebanon,0,4,0%,5.75
Switzerland,0,4,0%,6.25
Colombia,0,4,0%,9.25
Finland,0,4,0%,9.5
China,0,3,0%,4.33
Ecuador,0,3,0%,6
Slovakia,0,3,0%,6.33
Poland,0,3,0%,7
Argentina,0,3,0%,7.33
Kosovo,0,3,0%,7.33
Czechia,0,3,0%,11
Dominican Republic,0,3,0%,12.67
Algeria,0,3,0%,16.33
South Korea,0,2,0%,3.5
Bulgaria,0,2,0%,5
Kazakhstan,0,2,0%,5
Luxembourg,0,2,0%,6.5
Uzbekistan,0,2,0%,7
Denmark,0,2,0%,7.5
Lithuania,0,2,0%,8
Bahrain,0,2,0%,9
Guatemala,0,2,0%,10.5
Taiwan,0,2,0%,12
Nepal,0,2,0%,16
Qatar,0,2,0%,18.5
New Zealand,0,2,0%,33.5
Tanzania,0,1,0%,1
Unknown Region,0,1,0%,1
Uruguay,0,1,0%,2
Iraq,0,1,0%,3
Jordan,0,1,0%,3
Ethiopia,0,1,0%,4
Panama,0,1,0%,4
Venezuela,0,1,0%,4
Trinidad & Tobago,0,1,0%,5
Belarus,0,1,0%,6
Barbados,0,1,0%,6
Cyprus,0,1,0%,6
Bosnia & Herzegovina,0,1,0%,7
Kyrgyzstan,0,1,0%,7
Paraguay,0,1,0%,7
Estonia,0,1,0%,8
Ghana,0,1,0%,8
Jamaica,0,1,0%,8
Tunisia,0,1,0%,8
Libya,0,1,0%,9
Greece,0,1,0%,11
Maldives,0,1,0%,11
Mauritius,0,1,0%,11
Azerbaijan,0,1,0%,16
